Urgency,Days,TA,ID,Title,Status,Type,Opened,Deadline,Clarification,Score,Matched Terms,Theme,ESA-star
RED - due <=7 days,2,1-13547,187959,WORLD AGENTIC ENGINE - WAE,Issued,Open Competition,2026-06-25T11:58:44,2026-09-02T13:00:00,2026-08-19T13:00:00,8,"ai, earth observation, eo, forest, validation","Europe has built world leading Earth Observation (EO) infrastructures, but today's exploitation paradigm remains fragmented and focused on data pipelines rather than integrated intelligence. As a result, transforming EO data into actionable insights is slow, difficult to scale, and poorly aligned with the needs of non space industries. Meanwhile, global digital leaders are advancing rapidly with geospatial foundation models, world models and agentic AI systems that reason across heterogeneous data. Without a comparable European capability, much of the value generated from European EO assets risks being externalised.To address this, the proposed activity aims to prototype a World Agentic Engi",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187959
RED - due <=7 days,4,1-13353,189866,LARGE AREA AVALANCHE PHOTODIODE ARRAY FOR HIGH SIGNAL SWIR APPLICATIONS EXPRO PLUS (RE-ISSUE),Issued,Open Competition,2026-06-19T12:07:44,2026-09-04T13:00:00,2026-08-21T13:00:00,4,"earth observation, eo, swir","Objective: To develop prototype Avalanche Photodiode (APD) structures in an Mercury-Cadmium-Telluride (MCT) detection layer for high flux Earth Observation applications.Description: Hybrid infrared detectors, using a silicon Readout Integrated Circuit (ROIC) andMercury-Cadmium-Telluride (MCT) detection layer, are the gold standard for high performance optical systems in space. Recent demonstrations of Avalanche Photodiode (APD) technology in MCT layers opens up the possibility of signal magnification at the pixel level which reduces the effective readout noise. This can unlock performance improvements through an enhanced Signal-to-Noise ratio (SNR),or allow operation at equivalent SNR but wi",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/189866
RED - due <=7 days,4,1-13560,189184,ARRAKIHS INSTRUMENT HARNESS,Issued,Open Competition,2026-07-02T12:14:34,2026-09-04T13:00:00,2026-08-21T13:00:00,2,"quality, validation","The aim of this activity is to develop, manufacture and verify the ARRAKIHS instrument harness (EM, STM and PFM) in compliance withthe ARRAKIHS instrument specifications [AD01] [AD02] [AD03] [AD04].The Contractor shall be responsible for the management and the Product/Quality Assurance aspects, also including traceability documentationfor the design analysis including but limited tobundling concept, connector choice, routing, voltage drop and shielding efficiency validation, for the procurement of wiring, connectors, braids, backshells, labels, tape, foil, rings, savers, transport container, bags, etc.for the manufacturing and assembly of about 80 cables (SpW, RS-422, PWR, analogue) incl. cu",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/189184
RED - due <=7 days,0,5-50192,191920,SCALABLE VLEO PLATFORM FOR SATELLITE VIDEO (SYSNOVA CAMPAIGN) - RESTRICTED CALL FOR PROPOSALS,Issued,Call for Proposals,2026-07-20T11:44:04,2026-08-31T13:00:00,2026-08-17T13:00:00,1,satellite,,https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/191920
ORANGE - due <=14 days,8,1-13482,186405,NON-TERRESTRIAL NETWORK DIRECT SAMPLING RADIO UNIT (ARTES 4.0 SPL 5G/6G 5C.544) - EXPRO+,Issued,Open Competition,2026-05-22T18:20:57,2026-09-08T13:00:00,2026-08-25T13:00:00,3,"processing, quality, satellite","Objective: The objective of this activity is to design and test an engineering model of a Direct Sampling Radio Unit (DSRU) covering the 5G frequency bands FR1 and FR2.TargetedImprovements:Enabling direct sampling of all 5G frequency bands, providing an RF front end and Digital Signal Processing chip to achieve flexible 5G NTN communication with 20%reduction in power consumption compared to the current state of the art.Description: Current RF Systems-on-Chip (SoC) enables direct sampling in Frequency Range 1 (FR1), but higher frequency ranges still require down-conversion stages to sample atbaseband. There is a significant market need for a solution that enables direct sampling across all 5G",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/186405
ORANGE - due <=14 days,8,1-13439,185682,DEVELOPMENT OF E-/W-BAND SLOW WAVE STRUCTURE BREAD BOARDS FOR HIGH POWER TWTS EXPRO+,Issued,Open Competition,2026-06-22T20:12:48,2026-09-08T13:00:00,2026-09-01T13:00:00,2,"satellite, validation",Objective: To develop a E-/W-band traveling wave tube slow-wave structure breadboard capable of delivering 100 W of output power.Description: The millimetre wave domain is also known as the extremely high-frequency (EHF) spectrum ranges from 30 to 300 GHz. Early works on atmospheric propagation in EHF evidenced encouraging future usage for satellite communications. The allocated W-band for satellite services (71-76 GHz and 81-86 GHz) potentially provides a favourable attenuation window due to low oxygen absorption. The exploitation of W-band may offer broad bandwidths for high data rate information transfer. Hence the development of the high power amplifiers is a critical building block that,https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185682
ORANGE - due <=14 days,9,1-13450,185947,DEVELOPMENT OF LOW-BARRIER DIODES AND MIXERS FOR PASSIVE SUB-THZ RADIOMETER ARRAYS - EXPRO PLUS,Issued,Open Competition,2026-06-25T11:54:49,2026-09-09T13:00:00,2026-09-02T13:00:00,2,"image, remote sensing","Objective: To develop low barrier Schottky diodes and mixers for passive remote sensing of the Earth's atmosphere, with a local oscillator power requirement less than 25% compared to a traditional GaAs mixer.Description: Traditional Gallium Arsenide mixers such as the one used for MetOp-SG Micro Wave Imager (MWI) and Micro Wave Sounder (MWS) and Ice Cloud Imager (ICI) instruments need few milliwatts of local oscillator (LO) power to reach optimal conversion efficiency and noise figure. For single pixel instruments, this is well achievable with current local oscillator technology. For extended arrays of heterodyne receivers, this would mean to increase the local oscillator power requirements ",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185947
ORANGE - due <=14 days,10,1-13568,188551,DISTRIBUTED TEMPERATURE SENSING FOR LARGE DEPLOYABLE REFLECTORS - EXPRO+,Issued,Open Competition,2026-07-02T12:28:27,2026-09-10T13:00:00,2026-09-03T13:00:00,2,"eo, mesh","Objective: To develop a breadboard of a distributed temperature sensor using a fibre optic to measure the temperature of large deployable reflectors.Description: Missions such as CIMR which use a Large Deployable Reflectors (LDR) for radiometry require knowledge of the reflector temperature during observation in order to increase the accuracy of the measurement. This is a very challenging temperature measurement, both on orbit and on-ground, due to the very thin wires of the mesh structure, together with the gold coating of the wires. Contact thermometers, infra-red thermography and electrical techniques have all been proposed, each coming with their own set of challenges. The use of a fibre",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/188551
ORANGE - due <=14 days,11,1-13421,185694,ELECTROLYTE RECOVERY AND LIFETIME CONTROL - EXPRO PLUS,Issued,Open Competition,2026-06-10T15:26:02,2026-09-11T13:00:00,2026-08-28T13:00:00,2,"processing, validation","To minimise salt loss, to optimise salt stability and to enable salt regeneration/purification for themolten salt electrolysis process.DescriptionThe Fray Farthing Chen (FFC) Cambridge process and similar Molten Salt Electrolysis (MSE)processes, including the Regolith to OXYgen and Metals Conversion (ROXY) process, are potentialgame changing approaches to making resources available in alunar environment, i.e. the oxygenand metals which are chemically bound to lunar and planetary regolith/ bedrock.To operate an MSE based In-Situ Resource Utilization (ISRU) process on planetary surfaces, withthe minimum need of resupply of consumables, the salt/electrolyte recovery, stability andregeneration a",https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/185694
ORANGE - due <=14 days,9,1-13536,187337,"ERS TECHDEV, DEV-C - SECURITY UNIT - CLASSIFIED STAGE 1",Issued,Open Competition,2026-07-29T10:11:09,2026-09-09T13:00:00,2026-09-02T13:00:00,1,eo,Development of a Security Unit for ERS-EO.,https://esastar-publication-ext.sso.esa.int/ESATenderActions/details/187337
