History Key,Source,Provider,Programme,Call ID,Topic ID,Title,Type,URL,Opened,Deadline,First Seen,Last Seen,Seen Snapshots,Seen Count,Currently Matched,Last Status,Last Urgency,Last Days,Score,Matched Terms,Theme
"asi|terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ|https://www.asi.it/bandi_e_concorsi/terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ/|terza call i4dp_science ""sviluppo di applicativi basati su nuovi metodi e algoritmi di analisi di dati satellitari e formazione di personale a qualificazione medio-alta, in diversi settori applicativi e del downstream scientifico""",ASI,Agenzia Spaziale Italiana,ASI national calls and procurements,,terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ,"Terza call I4DP_SCIENCE ""Sviluppo di applicativi basati su nuovi metodi e algoritmi di analisi di dati satellitari e formazione di personale a qualificazione medio-alta, in diversi settori applicativi e del downstream scientifico""",Call / notice,https://www.asi.it/bandi_e_concorsi/terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ/,,2026-10-02,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open/check source,ORANGE - due <=21 days,21,31,"call for ideas, dati satellitari, downstream scientifico, formazione, i4dp, i4dp_science, innovation for downstream preparation, satellite, space economy","ASI|Agenzia Spaziale Italiana Bandi e amministrazione trasparente... Bandi Concorsi e opportunità Media e altro... AGENDA ASITV IT EN Navigazione L’Agenzia Vita nello spazio Scienze della Terra I pianeti, le stelle, l’universo Trasporto Spaziale TLC e Navigazione Tecnologie, ingegneria, micro e nanosatelliti Space Economy Formazione MoRe-ASI Comunicazione Newsletter ASI ASI Official Store In primo piano: Digital Twin, il gemello digitale per testare un satellite prima che voli La sfida di abitare sulla Luna Un vulcano piccolo, ma vigoroso Il lanciatore europeo Spectrum raggiunge l’orbita Swift, volge al termine la missione del suo ‘carro attrezzi’ --> --> IT Bandi Concorsi e opportunità Home"
ecmwf copernicus|cams2_73a|cams2_73a|https://ted.europa.eu/en/notice/-/detail/497659-2026|complementary products for the cams solar radiation service segment,ECMWF Copernicus,ECMWF,Copernicus C3S/CAMS procurement,CAMS2_73a,CAMS2_73a,Complementary products for the CAMS solar radiation service segment,Invitation to Tender,https://ted.europa.eu/en/notice/-/detail/497659-2026,2026-07-16,2026-09-15,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open,RED - due <=7 days,4,5,"CAMS, solar radiation",Complementary products for the CAMS solar radiation service segment
ecmwf copernicus|c3s2_424|c3s2_424|https://ted.europa.eu/en/notice/-/detail/444119-2026|european reference framework for climate scenarios,ECMWF Copernicus,ECMWF,Copernicus C3S/CAMS procurement,C3S2_424,C3S2_424,European reference framework for climate scenarios,Invitation to Tender,https://ted.europa.eu/en/notice/-/detail/444119-2026,2026-06-25,2026-09-24,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open,ORANGE - due <=14 days,13,2,climate,European reference framework for climate scenarios
ecmwf copernicus|cams2_84a|cams2_84a|https://ted.europa.eu/en/notice/-/detail/481208-2026|eqc of emission and surface fluxes products: prototype eqc activities for global products,ECMWF Copernicus,ECMWF,Copernicus C3S/CAMS procurement,CAMS2_84a,CAMS2_84a,EQC of emission and surface fluxes products: prototype EQC activities for global products,Invitation to Tender,https://ted.europa.eu/en/notice/-/detail/481208-2026,2026-07-09,2026-09-30,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open,AMBER - due <=30 days,19,4,"EQC, emission",EQC of emission and surface fluxes products: prototype EQC activities for global products
ecmwf copernicus|c3s2_610|c3s2_610|https://ted.europa.eu/en/notice/-/detail/518829-2026|development of an event-linked counterfactual diagnostic evidence layer based on ecmwf forecast and reanalysis information in support of the c3s operational attribution office,ECMWF Copernicus,ECMWF,Copernicus C3S/CAMS procurement,C3S2_610,C3S2_610,Development of an event-linked counterfactual diagnostic evidence layer based on ECMWF forecast and reanalysis information in support of the C3S Operational Attribution Office,Invitation to Tender,https://ted.europa.eu/en/notice/-/detail/518829-2026,2026-07-24,2026-10-01,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open,AMBER - due <=30 days,20,10,"C3S, evidence layer, forecast, reanalysis",Development of an event-linked counterfactual diagnostic evidence layer based on ECMWF forecast and reanalysis information in support of the C3S Operational Attribution Office
esa business applications|ao 1-10494|https://business.esa.int/funding/direct-negotiation-generic-programme-line|ao 1-10494 call for proposals for downstream applications in artes 4.0,ESA Business Applications,European Space Agency,ARTES 4.0 BASS,AO 1-10494,,AO 1-10494 Call for Proposals for Downstream Applications in ARTES 4.0,BASS Open Call,https://business.esa.int/funding/direct-negotiation-generic-programme-line,,,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open / APQ any time,BLUE - open channel/no fixed deadline,,18,"artes, business applications, downstream applications, earth observation, eo, space solutions",ESA Space Solutions Skip to main content Main navigation Home About us News How to apply Kick-starts Proof-of-concept Studies and Pilot Projects Funding Portfolio Ambassadors Focus Areas Bioeconomy Bioeconomy Task Force Energy Energy Task Force Green Activities Maritime Maritime Sustainability Task Force Mobility-Land Rail Smart and Green Cities Task Force For Smart and Green Cities Finance and Insurance Logistics and Infrastructure National Delegations Watch the video to learn more about what you can do with space-related assets! No tiene contenido No hay posibilidad de insertar contenido al bloque. Esto pasa en todos los bloques de ESA block module BUSINESS APPLICATIONS HOW TO APPLY NATIONAL DELEGATIONS NEWSLETTER TACKLING SOCIETAL CHALLENGES Staff Login Media Ambassador ESA Earth Observation Database Newcomer's Earth Observation Guide EO Data Access Latest News Business Network CONTRA
esa business applications|ao 1-11111|https://business.esa.int/funding/direct-negotiation-call-for-proposals/case-commercial-applications-enabled-space-environments|case: commercial applications enabled by space environments,ESA Business Applications,European Space Agency,ARTES 4.0 BASS,AO 1-11111,,CASE: Commercial Applications Enabled by Space Environments,BASS Open Call,https://business.esa.int/funding/direct-negotiation-call-for-proposals/case-commercial-applications-enabled-space-environments,2021-12-16,,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open / APQ any time,BLUE - open channel/no fixed deadline,,33,"activity pitch questionnaire, apq, business applications, customer, demonstration project, earth observation, eo, feasibility study, national delegation, onboard, outline proposal, remote sensing, users, validation","CASE: Commercial Applications Enabled by Space Environments Skip to main content Main navigation Home About us News How to apply Kick-starts Proof-of-concept Studies and Pilot Projects Funding Portfolio Ambassadors Focus Areas Bioeconomy Bioeconomy Task Force Energy Energy Task Force Green Activities Maritime Maritime Sustainability Task Force Mobility-Land Rail Smart and Green Cities Task Force For Smart and Green Cities Finance and Insurance Logistics and Infrastructure National Delegations CASE: Commercial Applications Enabled by Space Environments Breadcrumb Home Funding CASE: Commercial Applications Enabled By Space Environments Credit: ESA/NASA ESA-STAR REFERENCE 1-11111 Activity Feasibility Study, Demonstration Project Opening date 16-12-2021 Your Business in Orbit Space can be the ideal environment to exploit a wide range of phenomena and physical processes that are not possible"
esa business applications|ao 10494|https://business.esa.int/funding/call-for-proposals-non-competitive/commercial-applications-space-enabled-robotics|commercial applications of space-enabled robotics,ESA Business Applications,European Space Agency,ARTES 4.0 BASS,AO 10494,,Commercial Applications of Space-Enabled Robotics,BASS Open Call,https://business.esa.int/funding/call-for-proposals-non-competitive/commercial-applications-space-enabled-robotics,2024-03-07,,2026-09-10,2026-09-11,2026-09-10;2026-09-11,2,yes,Open / APQ any time,BLUE - open channel/no fixed deadline,,40,"agriculture, air quality, autonomous, bass, business applications, critical infrastructure, crop, customer, demonstration project, disaster, drone, earth observation, eo, feasibility study, image, quality","Commercial Applications of Space-Enabled Robotics Skip to main content Main navigation Home About us News How to apply Kick-starts Proof-of-concept Studies and Pilot Projects Funding Portfolio Ambassadors Focus Areas Bioeconomy Bioeconomy Task Force Energy Energy Task Force Green Activities Maritime Maritime Sustainability Task Force Mobility-Land Rail Smart and Green Cities Task Force For Smart and Green Cities Finance and Insurance Logistics and Infrastructure National Delegations Commercial Applications of Space-Enabled Robotics Breadcrumb Home Funding Commercial Applications of Space-Enabled Robotics Image credit: Rawpixel ESA-STAR REFERENCE 1-10494 Opportunity Call for Proposals (Non-Competitive) Activity Feasibility Study, Demonstration Project Opening date 07-03-2024 This funding call consists of 6 sub-themes, each open at a different point in time. Please see the list of currentl"
esa gstp|7518484c42eae4ca453e5d847a349062|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=7518484c42eae4ca453e5d847a349062|danish call for activity proposals to gstp element 1 (de-risk) and element 2 (make),ESA GSTP,European Space Agency,GSTP Element 2 Make,7518484c42eae4ca453e5d847a349062,3523813410390354408,Danish call for activity proposals to GSTP Element 1 (De-risk) and Element 2 (MAKE),OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=7518484c42eae4ca453e5d847a349062,,2026-11-09,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,GREEN - due >45 days,60,9,"element 2, gstp, make",Danish call for activity proposals to GSTP Element 1 (De-risk) and Element 2 (MAKE) The call dedicated for Danish entities applying for GSTP Element 1 De-risk Framework or Element 2 activities. 0 Submissions Ends in 2 months Go to Campaign
esa gstp|ac10a0a713015de39cd11ed85737d8c0|3523813410390354408|https://ideas.esa.int/core/servlet/hype/imt?documenttableid=3523813410390354408&useraction=browse&templatename=&documentid=ac10a0a713015de39cd11ed85737d8c0|danish request for interest (rfi) to the gstp resilience & security component workplan,ESA GSTP,European Space Agency,GSTP Element 2 Make,ac10a0a713015de39cd11ed85737d8c0,3523813410390354408,Danish Request for Interest (RFI) to the GSTP Resilience & Security Component Workplan,OSIP Campaign,https://ideas.esa.int/core/servlet/hype/IMT?documentTableId=3523813410390354408&userAction=Browse&templateName=&documentId=ac10a0a713015de39cd11ed85737d8c0,,2026-11-09,2026-09-10,2026-09-10,2026-09-10,1,no,Submission,GREEN - due >45 days,60,5,"gstp, security",Danish Request for Interest (RFI) to the GSTP Resilience & Security Component Workplan Registered in Denmark and working on resilience and security space technology? This call is for you! 0 Submissions Ends in 2 months Go to Campaign
