History Key,Source,Provider,Programme,Call ID,Topic ID,Title,Type,URL,Opened,Deadline,First Seen,Last Seen,Seen Snapshots,Seen Count,Currently Matched,Last Status,Last Urgency,Last Days,Score,Matched Terms,Theme
"arpa|affidamento-diretto-in-esito-a-trattativa-diretta-n-5792212-della-fornitura-di-licenze-acronis-e-servizi-di-onboarding-e-supporto-per-backup-di-virtual-machine-workstation-e-caselle-google-workspace-per-una-durata-di-12-mesi-finanziato-mediante-risorse|https://www.arpae.it/it/bandi-gara/2026/affidamento-diretto-in-esito-a-trattativa-diretta-n-5792212-della-fornitura-di-licenze-acronis-e-servizi-di-onboarding-e-supporto-per-backup-di-virtual-machine-workstation-e-caselle-google-workspace-per-una-durata-di-12-mesi-finanziato-mediante-risorse|affidamento diretto, in esito a trattativa diretta n. 5792212, della fornitura di licenze acronis e servizi di onboarding e supporto per backup di vi",ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,affidamento-diretto-in-esito-a-trattativa-diretta-n-5792212-della-fornitura-di-licenze-acronis-e-servizi-di-onboarding-e-supporto-per-backup-di-virtual-machine-workstation-e-caselle-google-workspace-per-una-durata-di-12-mesi-finanziato-mediante-risorse,"Affidamento diretto, in esito a Trattativa diretta n. 5792212, della fornitura di Licenze Acronis e servizi di onboarding e supporto per backup di Virtual Machine, Workstation e caselle Google Workspace per una durata di 12 mesi. Procedura finanziata mediante risorse previste nell'ambito del progetto “Potenziamento della capacità di identificazione e risposta ai rischi cyber” - CUP: J36G23000230006 - finanziato mediante risorse del Piano Nazionale di Ripresa e Resilienza (PNRR) – Missione M1C1 “Digitalizzazione, Innovazione e Sicurezza nella P.A.” – Investimento 1.5 “Cybersecurity.",Procurement,https://www.arpae.it/it/bandi-gara/2026/affidamento-diretto-in-esito-a-trattativa-diretta-n-5792212-della-fornitura-di-licenze-acronis-e-servizi-di-onboarding-e-supporto-per-backup-di-virtual-machine-workstation-e-caselle-google-workspace-per-una-durata-di-12-mesi-finanziato-mediante-risorse,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,3,"ai, fornitura","fidamento in house di servizi di storage e potenziamento infrastrutturale presso i Data Center Lepida per un triennio finanziato PNRR – Missione M1C1 “Digitalizzazione, Innovazione e Sicurezza nella P.A.” – Investimento 1.5 “Cybersecurity” Esiti di gara Affidamento diretto, in esito a Trattativa diretta n. 5792212, della fornitura di Licenze Acronis e servizi di onboarding e supporto per backup di Virtual Machine, Workstation e caselle Google Workspace per una durata di 12 mesi. Procedura finanziata mediante risorse previste nell'ambito del progetto “Potenziamento della capacità di identificazione e risposta ai rischi cyber” - CUP: J36G23000230006 - finanziato mediante risorse del Piano Nazi"
"arpa|affidamento-in-house-di-servizi-di-storage-e-potenziamento-infrastrutturale-presso-i-data-center-lepida-per-un-triennio-finanziato-pnrr-2013-missione-m1c1-201cdigitalizzazione-innovazione-e-sicurezza-nella-p-a-201d-2013-investimento-1-5|https://www.arpae.it/it/bandi-gara/2026/affidamento-in-house-di-servizi-di-storage-e-potenziamento-infrastrutturale-presso-i-data-center-lepida-per-un-triennio-finanziato-pnrr-2013-missione-m1c1-201cdigitalizzazione-innovazione-e-sicurezza-nella-p-a-201d-2013-investimento-1-5|affidamento in house di servizi di storage e potenziamento infrastrutturale presso i data center lepida per un triennio finanziato pnrr – missione m1c1 “digitalizzazione, innovazion",ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,affidamento-in-house-di-servizi-di-storage-e-potenziamento-infrastrutturale-presso-i-data-center-lepida-per-un-triennio-finanziato-pnrr-2013-missione-m1c1-201cdigitalizzazione-innovazione-e-sicurezza-nella-p-a-201d-2013-investimento-1-5,"Affidamento in house di servizi di storage e potenziamento infrastrutturale presso i Data Center Lepida per un triennio finanziato PNRR – Missione M1C1 “Digitalizzazione, Innovazione e Sicurezza nella P.A.” – Investimento 1.5 “Cybersecurity”",Procurement,https://www.arpae.it/it/bandi-gara/2026/affidamento-in-house-di-servizi-di-storage-e-potenziamento-infrastrutturale-presso-i-data-center-lepida-per-un-triennio-finanziato-pnrr-2013-missione-m1c1-201cdigitalizzazione-innovazione-e-sicurezza-nella-p-a-201d-2013-investimento-1-5,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,3,"fornitura, hpc","NRR MER”"">RDO aperta n. 6230341 su Consip per l'affidamento della fornitura di n. 8 sistemi di calcolo (nodi) di classe server, per applicazioni di calcolo ad alte prestazioni (HPC) comprensivi di accessori di corredo, finanziata “PNRR MER” Esiti di gara Affidamento in house di servizi di storage e potenziamento infrastrutturale presso i Data Center Lepida per un triennio finanziato PNRR – Missione M1C1 “Digitalizzazione, Innovazione e Sicurezza nella P.A.” – Investimento 1.5 “Cybersecurity” Esiti di gara <"
arpa|allegati|https://www.arpae.it/it/bandi-gara/2026/consultazione-preliminare-per-la-fornitura-e-installazione-dello-strumento-wind-doppler-lidar-in-dotazione-ad-arpae-simc-e-servizio-di-manutenzione/allegati|allegati,ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,allegati,allegati,Procurement,https://www.arpae.it/it/bandi-gara/2026/consultazione-preliminare-per-la-fornitura-e-installazione-dello-strumento-wind-doppler-lidar-in-dotazione-ad-arpae-simc-e-servizio-di-manutenzione/allegati,,,2026-09-02,2026-09-07,2026-09-02;2026-09-07,2,no,Check source,BLUE - check source/no deadline,,17,"ai, drone, droni, fornitura, lidar, monitoraggio ambientale","ntenttype-news-item""> Un nuovo drone marino per Arpae Dotato di sonar in grado di ricostruire in 3D il fondale. Si aggiunge alla flotta di 5 droni aerei per il monitoraggio ambientale Si trova in Notizie File risposte ai chiarimenti del 3.3.2026 Si trova in Bandi gara / … / Consultazione preliminare per la fornitura e installazione dello strumento Wind Doppler LIDAR in dotazione ad Arpae SIMC e servizio di manutenzione <span clas"
"arpa|avviso-di-indagine-di-mercato-per-laffidamento-della-fornitura-di-n-1-sistema-completo-ed-integrato-per-l2019identificazione-di-batteri-gram-gram-e-lieviti-tramite-spettrometria-di-massa-maldi-tof-procedura-finanziata-pncar|https://www.arpae.it/it/bandi-gara/2026/avviso-di-indagine-di-mercato-per-laffidamento-della-fornitura-di-n-1-sistema-completo-ed-integrato-per-l2019identificazione-di-batteri-gram-gram-e-lieviti-tramite-spettrometria-di-massa-maldi-tof-procedura-finanziata-pncar|procedura negoziata senza bando, ai sensi dell'art. 50, comma 1, lett. e) del d. lgs. 36/2023, per l'affidamento della fornitura di n. 1 sistema completo ed integrato per l’identificazione di batteri gram+, ",ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,avviso-di-indagine-di-mercato-per-laffidamento-della-fornitura-di-n-1-sistema-completo-ed-integrato-per-l2019identificazione-di-batteri-gram-gram-e-lieviti-tramite-spettrometria-di-massa-maldi-tof-procedura-finanziata-pncar,"Procedura negoziata senza bando, ai sensi dell'art. 50, comma 1, lett. e) del d. lgs. 36/2023, per l'affidamento della fornitura di n. 1 sistema completo ed integrato per l’identificazione di batteri GRAM+, GRAM- e lieviti tramite spettrometria di massa MALDI-TOF . Procedura finanziata PNCAR",Procurement,https://www.arpae.it/it/bandi-gara/2026/avviso-di-indagine-di-mercato-per-laffidamento-della-fornitura-di-n-1-sistema-completo-ed-integrato-per-l2019identificazione-di-batteri-gram-gram-e-lieviti-tramite-spettrometria-di-massa-maldi-tof-procedura-finanziata-pncar,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,5,"ai, fornitura, procedura negoziata","latore ottico), da destinarsi alle sedi LM di Bologna e Ravenna RDO aperta n. 6253066 su Consip per l’affidamento della fornitura mediante somministrazione periodica di miscele di gas di calibrazione in bombole e accessori per la durata di 24 mesi Procedura negoziata senza bando, ai sensi dell'art. 50, comma 1, lett. e) del d. lgs. 36/2023, per l'affidamento della fornitura di n. 1 sistema completo ed integrato per l’identificazione di batteri GRAM+, GRAM- e lieviti tramite spettrometria di massa MALDI-TOF . Procedura finanziata PNCAR Sponsorizzazioni per il convegno ""30 anni per l'ambiente"" <a href=""https://www.arpae.it/it/bandi-gara/2026/consultazione-preliminare-di-mercato-per-l2019affida"
"arpa|rdo-aperta-n-6230341-su-consip-per-laffidamento-della-fornitura-di-n-8-sistemi-di-calcolo-nodi-di-classe-server-per-applicazioni-di-calcolo-ad-alte-prestazioni-hpc-comprensivi-di-accessori-di-corredo-finanziata-201cpnrr-mer201d-1|https://www.arpae.it/it/bandi-gara/2026/rdo-aperta-n-6230341-su-consip-per-laffidamento-della-fornitura-di-n-8-sistemi-di-calcolo-nodi-di-classe-server-per-applicazioni-di-calcolo-ad-alte-prestazioni-hpc-comprensivi-di-accessori-di-corredo-finanziata-201cpnrr-mer201d-1|rdo aperta n. 6230341 su consip per l'affidamento della fornitura di n. 8 sistemi di calcolo (nodi) di classe server, per applicazioni di calcolo ad alte prestazioni (hpc) comprensivi di accessor",ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,rdo-aperta-n-6230341-su-consip-per-laffidamento-della-fornitura-di-n-8-sistemi-di-calcolo-nodi-di-classe-server-per-applicazioni-di-calcolo-ad-alte-prestazioni-hpc-comprensivi-di-accessori-di-corredo-finanziata-201cpnrr-mer201d-1,"RDO aperta n. 6230341 su Consip per l'affidamento della fornitura di n. 8 sistemi di calcolo (nodi) di classe server, per applicazioni di calcolo ad alte prestazioni (HPC) comprensivi di accessori di corredo, finanziata “PNRR MER”",Procurement,https://www.arpae.it/it/bandi-gara/2026/rdo-aperta-n-6230341-su-consip-per-laffidamento-della-fornitura-di-n-8-sistemi-di-calcolo-nodi-di-classe-server-per-applicazioni-di-calcolo-ad-alte-prestazioni-hpc-comprensivi-di-accessori-di-corredo-finanziata-201cpnrr-mer201d-1,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,3,"fornitura, hpc","tazione-preliminare-di-mercato-per""> Consultazione preliminare di mercato per l’affidamento dei servizi di rimozione, trasporto e smaltimento rifiuti ubicati nell’immobile Arpae di Ravenna – Via Alberoni 17-19 RDO aperta n. 6230341 su Consip per l'affidamento della fornitura di n. 8 sistemi di calcolo (nodi) di classe server, per applicazioni di calcolo ad alte prestazioni (HPC) comprensivi di accessori di corredo, finanziata “PNRR MER” Procedura aperta per l'affidamento del servizio di noleggio operativo quinquennale con ma"
arpa|rdo-aperta-per-la-fornitura-di-un-drone-marino-per-il-rilievo-batimetrico-di-acque-basse|https://www.arpae.it/it/bandi-gara/2022/rdo-aperta-per-la-fornitura-di-un-drone-marino-per-il-rilievo-batimetrico-di-acque-basse|rdo aperta per la fornitura di un drone marino per il rilievo batimetrico di acque basse,ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,rdo-aperta-per-la-fornitura-di-un-drone-marino-per-il-rilievo-batimetrico-di-acque-basse,RDO Aperta per la fornitura di un drone marino per il rilievo batimetrico di acque basse,Procurement,https://www.arpae.it/it/bandi-gara/2022/rdo-aperta-per-la-fornitura-di-un-drone-marino-per-il-rilievo-batimetrico-di-acque-basse,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,4,"drone, fornitura","ps.arpae.it/documento/DET2022775"" class=""state-"">Struttura Idro-Meteo Clima. Potenziamento sistemi acquisizione dati meteo-marini. Affidamento della fornitura di un drone marino per il rilievo batimetrico di acque basse per le zone di mare sotto costa e relativo sistema di elaborazione dati. CIG: 9411576635 - CUP: I83C22000640005 Dott. Nanni Sandro 11/10/2024 Bando RDO Aperta per la fornitura di un drone marino per il rilievo batimetrico di acque basse Si trova in Bandi gara / 2022 Notizia Discarica di Palazzuolo sul Senio (FI), sopralluoghi di Arpae A Castel del Rio (Bo) prelievi di campion"
arpa|rdo-n-6542407-fornitura-n-3-lotti-di-strumentazione-tecnico-scientifica-da-destinare|https://bandi.arpa.piemonte.it/bandi-appalti/rdo-n-6542407-fornitura-n-3-lotti-di-strumentazione-tecnico-scientifica-da-destinare|rdo n. 6542407 - fornitura a n. 3 lotti di strumentazione tecnico scientifica da destinare ai laboratori di arpa piemonte,ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,rdo-n-6542407-fornitura-n-3-lotti-di-strumentazione-tecnico-scientifica-da-destinare,RDO n. 6542407 - FORNITURA A N. 3 LOTTI DI STRUMENTAZIONE TECNICO SCIENTIFICA DA DESTINARE AI LABORATORI DI ARPA PIEMONTE,Procurement,https://bandi.arpa.piemonte.it/bandi-appalti/rdo-n-6542407-fornitura-n-3-lotti-di-strumentazione-tecnico-scientifica-da-destinare,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,3,"ai, fornitura","ando"">01/09/2026 - Scade: 25/09/2026 - 16:00 Procedura negoziata per affidamenti sottosoglia RDO n. 6542407 - FORNITURA A N. 3 LOTTI DI STRUMENTAZIONE TECNICO SCIENTIFICA DA DESTINARE AI LABORATORI DI ARPA PIEMONTE Lotto 1 n. 1 cappa chimica a filtrazione per analisi chimiche Lotto 2 n. 1 cappa chimica a filtrazione per analisi chimiche dotata di armadio per infiammabili Lotto 3 n. 1 stufa per vetreria da laboratorio Referente : RUP: Dot.ssa Laura Erbetta Dirigente Responsabile Coordinamento Laboratori Referente amministrativo Dott.ssa Carla L'Afflitto Uffico Acquisti beni e servizi Atti"
arpa|quesiti-al-3-3-26-consultazione-wind_lidar-pdf.p7m|https://www.arpae.it/it/bandi-gara/2026/consultazione-preliminare-per-la-fornitura-e-installazione-dello-strumento-wind-doppler-lidar-in-dotazione-ad-arpae-simc-e-servizio-di-manutenzione/allegati/quesiti-al-3-3-26-consultazione-wind_lidar-pdf.p7m|risposte ai chiarimenti del 3.3.2026,ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,quesiti-al-3-3-26-consultazione-wind_lidar-pdf.p7m,risposte ai chiarimenti del 3.3.2026,Procurement,https://www.arpae.it/it/bandi-gara/2026/consultazione-preliminare-per-la-fornitura-e-installazione-dello-strumento-wind-doppler-lidar-in-dotazione-ad-arpae-simc-e-servizio-di-manutenzione/allegati/quesiti-al-3-3-26-consultazione-wind_lidar-pdf.p7m,,,2026-09-02,2026-09-07,2026-09-02;2026-09-07,2,no,Check source,BLUE - check source/no deadline,,17,"ai, drone, droni, fornitura, lidar, monitoraggio ambientale","ntenttype-news-item""> Un nuovo drone marino per Arpae Dotato di sonar in grado di ricostruire in 3D il fondale. Si aggiunge alla flotta di 5 droni aerei per il monitoraggio ambientale Si trova in Notizie File risposte ai chiarimenti del 3.3.2026 Si trova in Bandi gara / … / Consultazione preliminare per la fornitura e installazione dello strumento Wind Doppler LIDAR in dotazione ad Arpae SIMC e servizio di manutenzione <span clas"
"arpa|servizi-di-manutenzione-e-gestione-quadriennale-delle-apparecchiature-a-media-alta-ed-altissima-tecnologia-per-analisi-ambientale-nei-laboratori-di-arpae|https://www.arpae.it/it/bandi-gara/2026/servizi-di-manutenzione-e-gestione-quadriennale-delle-apparecchiature-a-media-alta-ed-altissima-tecnologia-per-analisi-ambientale-nei-laboratori-di-arpae|servizi di manutenzione e gestione quadriennale delle apparecchiature a media, alta ed altissima tecnologia per analisi ambientale nei laboratori di arpae",ARPA,Italian regional environmental protection agencies,ARPA regional environmental procurements,,servizi-di-manutenzione-e-gestione-quadriennale-delle-apparecchiature-a-media-alta-ed-altissima-tecnologia-per-analisi-ambientale-nei-laboratori-di-arpae,"Servizi di manutenzione e gestione quadriennale delle apparecchiature a media, alta ed altissima tecnologia per analisi ambientale nei laboratori di Arpae",Procurement,https://www.arpae.it/it/bandi-gara/2026/servizi-di-manutenzione-e-gestione-quadriennale-delle-apparecchiature-a-media-alta-ed-altissima-tecnologia-per-analisi-ambientale-nei-laboratori-di-arpae,,,2026-09-02,2026-09-02,2026-09-02,1,no,Check source,BLUE - check source/no deadline,,5,"fornitura, lidar","ello strumento Wind Doppler LIDAR in dotazione ad Arpae SIMC e servizio di manutenzione"">Consultazione preliminare per la fornitura e installazione dello strumento Wind Doppler LIDAR in dotazione ad Arpae SIMC e servizio di manutenzione Esiti di gara Servizi di manutenzione e gestione quadriennale delle apparecchiature a media, alta ed altissima tecnologia per analisi ambientale nei laboratori di Arpae Informazioni Collezione"
asi|terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ|https://www.asi.it/bandi_e_concorsi/terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ/|asi|agenzia spaziale italiana,ASI,Agenzia Spaziale Italiana,ASI national calls and procurements,,terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ,ASI|Agenzia Spaziale Italiana,Call / notice,https://www.asi.it/bandi_e_concorsi/terza-call-i4dp_science-sviluppo-di-applicativi-basati-su-nuovi-metodi-e-algoritmi-di-analisi-di-dati-satellitari-e-formazione-di-personale-a-qualificazione-medio-alta-in-diversi-settori-applicativ/,,2026-10-02,2026-09-02,2026-09-02,2026-09-02,1,no,Open/check source,AMBER - due <=45 days,30,30,"call for ideas, dati satellitari, downstream scientifico, formazione, i4dp, i4dp_science, innovation for downstream preparation, space economy","ASI|Agenzia Spaziale Italiana Bandi e amministrazione trasparente... Bandi Concorsi e opportunità Media e altro... AGENDA ASITV IT EN Navigazione L’Agenzia Vita nello spazio Scienze della Terra I pianeti, le stelle, l’universo Trasporto Spaziale TLC e Navigazione Tecnologie, ingegneria, micro e nanosatelliti Space Economy Formazione MoRe-ASI Comunicazione Newsletter ASI ASI Official Store In primo piano: L’ultima danza di Samba e Tango La Luna potrebbe essersi formata in poche ore Pandora apre gli occhi sugli esopianeti È iniziato il viaggio del Nancy Grace Roman Mtg-I2 completa la nuova generazione di Meteosat --> --> IT Bandi Concorsi e opportunità Homepage ‣ BANDI ‣ Bandi ASI ‣ Open calls"
